line_no, Core 0 lines , Core 1 lines
812 , 10 , 52
813 , 63 , 32
814 , 20 , 12
815 , 92 , 16
816 , 81 , 66
817 , 31 , 15
818 , 63 , 9
819 , 7 , 16
820 , 53 , 44
821 , 40 , 51
822 , 34 , 11
823 , 38 , 43
824 , 25 , 35
825 , 35 , 17
826 , 16 , 0
827 , 29 , 31
828 , 14 , 40
829 , 29 , 27
830 , 43 , 21
831 , 36 , 15
832 , 27 , 25
833 , 0 , 0
834 , 0 , 23
835 , 38 , 43
836 , 0 , 60
837 , 25 , 11
838 , 12 , 32
839 , 15 , 68
840 , 38 , 37
841 , 36 , 0
842 , 9 , 34
843 , 10 , 21
844 , 15 , 19
845 , 51 , 0
846 , 11 , 29
847 , 59 , 31
848 , 49 , 37
849 , 37 , 55
850 , 24 , 82
851 , 0 , 0
852 , 0 , 0
853 , 26 , 32
854 , 11 , 61
855 , 31 , 48
856 , 51 , 0
857 , 13 , 32
858 , 4 , 44
859 , 17 , 21
860 , 0 , 10
861 , 0 , 22
862 , 0 , 41
863 , 30 , 12
864 , 20 , 32
865 , 33 , 30
866 , 0 , 21
867 , 13 , 0
868 , 0 , 0
869 , 17 , 22
870 , 53 , 37
871 , 3 , 13
872 , 26 , 0
873 , 0 , 18
874 , 3 , 40
875 , 38 , 0
876 , 14 , 30
877 , 57 , 0
878 , 46 , 13
879 , 54 , 36
880 , 13 , 24
881 , 17 , 15
882 , 36 , 83
883 , 43 , 31
884 , 23 , 47
885 , 29 , 13
886 , 17 , 15
887 , 28 , 51
888 , 14 , 55
889 , 10 , 56
890 , 41 , 77
891 , 41 , 37
892 , 59 , 0
893 , 0 , 0
894 , 20 , 33
895 , 38 , 0
896 , 24 , 48
897 , 25 , 25
898 , 73 , 0
899 , 29 , 37
900 , 0 , 0
901 , 35 , 15
902 , 7 , 18
903 , 18 , 19
904 , 14 , 13
905 , 16 , 34
906 , 18 , 15
907 , 28 , 13
908 , 43 , 0
909 , 21 , 43
910 , 47 , 25
911 , 15 , 60
912 , 33 , 23
913 , 25 , 14
914 , 36 , 10
915 , 21 , 27
916 , 31 , 0
917 , 31 , 28
918 , 30 , 0
919 , 26 , 0
920 , 7 , 36
921 , 16 , 4
922 , 23 , 29
923 , 8 , 0
924 , 0 , 9
925 , 0 , 14
926 , 0 , 18
927 , 33 , 23
928 , 17 , 35
929 , 25 , 28
930 , 12 , 34
931 , 11 , 29
932 , 0 , 0
933 , 61 , 16
934 , 62 , 28
935 , 4 , 17
936 , 20 , 40
937 , 27 , 60
938 , 12 , 29
939 , 5 , 14
940 , 0 , 93
941 , 25 , 0
942 , 10 , 13
943 , 34 , 33
944 , 16 , 30
945 , 0 , 18
946 , 34 , 27
947 , 8 , 20
948 , 0 , 0
949 , 8 , 0
950 , 20 , 54
951 , 36 , 13
952 , 16 , 34
953 , 16 , 8
954 , 34 , 13
955 , 0 , 31
956 , 19 , 15
957 , 43 , 48
958 , 35 , 39
959 , 22 , 49
960 , 63 , 48
961 , 27 , 48
962 , 22 , 28
963 , 23 , 15
964 , 24 , 29
965 , 11 , 25
966 , 41 , 17
967 , 0 , 7
968 , 0 , 22
969 , 21 , 54
970 , 49 , 19
971 , 49 , 0
972 , 45 , 22
973 , 18 , 22
974 , 0 , 19
975 , 11 , 16
976 , 28 , 81
977 , 15 , 15
978 , 28 , 33
979 , 36 , 7
980 , 17 , 0
981 , 50 , 0
982 , 12 , 22
983 , 20 , 22
984 , 0 , 29
985 , 39 , 64
986 , 19 , 64
987 , 22 , 23
988 , 6 , 25
989 , 0 , 0
990 , 8 , 13
991 , 55 , 47
992 , 33 , 0
993 , 14 , 29
994 , 32 , 22
995 , 35 , 54
996 , 0 , 18
997 , 41 , 49
998 , 46 , 44
999 , 41 , 52
1000 , 11 , 25
1001 , 8 , 5
1002 , 96 , 12
1003 , 12 , 13
1004 , 8 , 30
1005 , 0 , 29
1006 , 15 , 25
1007 , 13 , 40
1008 , 33 , 11
1009 , 72 , 33
1010 , 35 , 16
1011 , 8 , 50
1012 , 0 , 0
1013 , 49 , 0
1014 , 30 , 45
1015 , 42 , 32
1016 , 16 , 10
1017 , 13 , 14
1018 , 25 , 36
1019 , 32 , 63
1020 , 55 , 63
1021 , 45 , 0
1022 , 21 , 22
1023 , 30 , 12
1024 , 61 , 24
1025 , 48 , 0
1026 , 43 , 65
1027 , 7 , 10
1028 , 26 , 0
1029 , 13 , 0
1030 , 24 , 19
1031 , 26 , 23
1032 , 44 , 11
1033 , 55 , 27
1034 , 0 , 0
1035 , 56 , 23
1036 , 23 , 18
1037 , 55 , 32
1038 , 20 , 28
1039 , 29 , 0
1040 , 20 , 23
1041 , 33 , 34
1042 , 13 , 44
1043 , 0 , 28
1044 , 36 , 24
1045 , 56 , 46
1046 , 12 , 54
1047 , 7 , 20
1048 , 13 , 14
1049 , 16 , 50
1050 , 56 , 25
1051 , 16 , 40
1052 , 6 , 28
1053 , 44 , 0
1054 , 56 , 34
1055 , 23 , 12
1056 , 20 , 31
1057 , 20 , 22
1058 , 14 , 24
1059 , 11 , 0
1060 , 0 , 117
1061 , 47 , 29
1062 , 40 , 24
1063 , 32 , 26
1064 , 56 , 12
1065 , 17 , 26
1066 , 10 , 11
1067 , 34 , 15
1068 , 0 , 18
1069 , 33 , 39
1070 , 26 , 22
1071 , 24 , 21
1072 , 0 , 22
1073 , 34 , 12
1074 , 0 , 9
1075 , 28 , 0
1076 , 25 , 26
1077 , 23 , 0
1078 , 19 , 28
1079 , 23 , 7
1080 , 31 , 13
1081 , 7 , 15
1082 , 59 , 23
1083 , 61 , 23
1084 , 47 , 22
1085 , 0 , 21
1086 , 17 , 28
1087 , 9 , 0
1088 , 49 , 26
1089 , 49 , 0
1090 , 0 , 11
1091 , 11 , 64
1092 , 0 , 0
1093 , 20 , 30
1094 , 34 , 22
1095 , 42 , 27
1096 , 81 , 10
1097 , 28 , 0
1098 , 47 , 31
1099 , 26 , 25
1100 , 27 , 21
1101 , 55 , 32
1102 , 15 , 26
1103 , 30 , 0
1104 , 10 , 9
1105 , 26 , 8
1106 , 37 , 29
1107 , 34 , 21
1108 , 76 , 0
1109 , 38 , 14
1110 , 17 , 20
1111 , 22 , 65
1112 , 44 , 12
1113 , 17 , 12
1114 , 11 , 0
1115 , 25 , 29
1116 , 18 , 32
1117 , 16 , 23
1118 , 18 , 0
1119 , 12 , 15
1120 , 30 , 0
1121 , 38 , 56
1122 , 21 , 26
1123 , 52 , 32
1124 , 22 , 26
1125 , 30 , 12
1126 , 11 , 17
1127 , 41 , 47
1128 , 22 , 0
1129 , 50 , 37
1130 , 12 , 40
1131 , 0 , 25
1132 , 12 , 28
1133 , 0 , 17
1134 , 9 , 0
1135 , 24 , 29
1136 , 39 , 32
1137 , 28 , 42
1138 , 14 , 26
1139 , 20 , 31
1140 , 0 , 0
1141 , 34 , 0
1142 , 17 , 17
1143 , 0 , 11
1144 , 52 , 61
1145 , 0 , 17
1146 , 13 , 51
1147 , 9 , 29
1148 , 21 , 29
1149 , 0 , 22
1150 , 9 , 39
1151 , 7 , 42
1152 , 13 , 18
1153 , 61 , 8
1154 , 0 , 23
1155 , 0 , 17
1156 , 28 , 25
1157 , 14 , 40
1158 , 16 , 14
1159 , 12 , 15
1160 , 24 , 17
1161 , 24 , 13
1162 , 39 , 36
1163 , 0 , 49
1164 , 19 , 45
1165 , 0 , 61
1166 , 18 , 9
1167 , 31 , 22
1168 , 38 , 9
1169 , 28 , 36
1170 , 0 , 68
1171 , 22 , 10
1172 , 52 , 0
1173 , 45 , 0
1174 , 19 , 25
1175 , 12 , 44
1176 , 0 , 29
1177 , 62 , 84
1178 , 25 , 16
1179 , 0 , 24
1180 , 82 , 23
1181 , 26 , 46
1182 , 42 , 52
1183 , 9 , 46
1184 , 57 , 22
1185 , 8 , 9
1186 , 0 , 23
1187 , 16 , 0
1188 , 27 , 63
1189 , 10 , 14
1190 , 29 , 13
1191 , 54 , 28
1192 , 11 , 14
1193 , 22 , 0
1194 , 0 , 13
1195 , 18 , 28
1196 , 13 , 29
1197 , 19 , 0
1198 , 13 , 8
1199 , 31 , 9
1200 , 51 , 0
1201 , 56 , 0
1202 , 32 , 10
1203 , 28 , 27
1204 , 0 , 0
1205 , 29 , 49
1206 , 49 , 17
1207 , 36 , 0
1208 , 56 , 19
1209 , 30 , 26
1210 , 36 , 54
1211 , 30 , 7
1212 , 16 , 24
1213 , 21 , 22
1214 , 22 , 36
1215 , 36 , 24
1216 , 27 , 8
1217 , 73 , 29
1218 , 24 , 44
1219 , 32 , 34
1220 , 0 , 28
1221 , 22 , 0
1222 , 29 , 40
1223 , 35 , 30
1224 , 28 , 21
1225 , 7 , 45
1226 , 22 , 0
1227 , 6 , 35
1228 , 0 , 16
1229 , 76 , 93
1230 , 13 , 11
1231 , 0 , 10
1232 , 17 , 57
1233 , 20 , 12
1234 , 10 , 53
1235 , 42 , 43
1236 , 29 , 0
1237 , 30 , 0
1238 , 11 , 7
1239 , 52 , 0
1240 , 15 , 13
1241 , 0 , 25
1242 , 17 , 30
1243 , 0 , 39
1244 , 29 , 32
1245 , 30 , 0
1246 , 29 , 40
1247 , 28 , 32
1248 , 18 , 35
1249 , 19 , 25
1250 , 8 , 28
1251 , 28 , 0
1252 , 37 , 43
1253 , 14 , 40
1254 , 32 , 8
1255 , 16 , 42
1256 , 7 , 46
1257 , 39 , 27
1258 , 49 , 13
1259 , 43 , 22
1260 , 16 , 37
1261 , 45 , 87
1262 , 39 , 11
1263 , 30 , 40
1264 , 56 , 31
1265 , 22 , 12
1266 , 48 , 23
1267 , 37 , 89
1268 , 57 , 36
1269 , 48 , 11
1270 , 27 , 54
1271 , 13 , 20
1272 , 29 , 30
1273 , 53 , 0
1274 , 56 , 10
1275 , 14 , 0
1276 , 42 , 0
1277 , 26 , 78
1278 , 14 , 18
1279 , 41 , 8
1280 , 36 , 30
1281 , 14 , 0
1282 , 32 , 17
1283 , 51 , 59
1284 , 0 , 98
1285 , 39 , 13
1286 , 0 , 28
1287 , 11 , 18
1288 , 14 , 12
1289 , 16 , 12
1290 , 23 , 27
1291 , 18 , 0
1292 , 21 , 57
1293 , 0 , 0
1294 , 47 , 16
1295 , 16 , 18
1296 , 71 , 55
1297 , 25 , 0
1298 , 21 , 48
1299 , 28 , 23
1300 , 67 , 0
1301 , 12 , 17
1302 , 27 , 12
1303 , 16 , 0
1304 , 33 , 24
1305 , 22 , 36
1306 , 6 , 74
1307 , 10 , 28
1308 , 0 , 0
1309 , 59 , 0
1310 , 60 , 49
1311 , 30 , 24
1312 , 31 , 11
1313 , 0 , 39
1314 , 19 , 25
1315 , 21 , 21
1316 , 27 , 55
1317 , 41 , 35
1318 , 12 , 7
1319 , 47 , 52
1320 , 16 , 12
1321 , 48 , 20
1322 , 10 , 0
1323 , 0 , 58
1324 , 29 , 30
1325 , 0 , 0
1326 , 43 , 35
1327 , 32 , 0
1328 , 24 , 36
1329 , 0 , 0
1330 , 0 , 29
1331 , 0 , 41
1332 , 36 , 19
1333 , 0 , 14
1334 , 41 , 99
1335 , 42 , 12
1336 , 29 , 34
1337 , 25 , 24
1338 , 29 , 0
1339 , 47 , 7
1340 , 38 , 27
1341 , 31 , 0
1342 , 13 , 34
1343 , 19 , 50
1344 , 0 , 25
1345 , 26 , 30
1346 , 14 , 0
1347 , 40 , 13
1348 , 47 , 61
1349 , 45 , 9
1350 , 8 , 13
1351 , 7 , 61
1352 , 42 , 50
1353 , 0 , 10
